ID,Q0_pre_Zeta_US,R2_implementation_yes_SM1,R2_implementation_yes_SM2,R2_implementation_yes_SM3,R2_implementation_yes_SM4,R2_implementation_yes_SM5,R2_implementation_yes_SM6,R2_implementation_yes_SM7,R2_implementation_yes_NM1,R2_implementation_yes_NM2,R2_implementation_yes_NM3,R2_implementation_yes_NM4,R2_implementation_yes_NM5,R2_implementation_yes_NM6,R2_implementation_yes_NM7,R2_implementation_yes_NM8,R2_implementation_yes_NM9,R2_implementation_yes_NM10,R2_implementation_yes_NM11,R2_implementation_no_SM1,R2_implementation_no_SM2,R2_implementation_no_SM3,R2_implementation_no_SM4,R2_implementation_no_SM5,R2_implementation_no_SM6,R2_implementation_no_SM7,R2_implementation_no_NM1,R2_implementation_no_NM2,R2_implementation_no_NM3,R2_implementation_no_NM4,R2_implementation_no_NM5,R2_implementation_no_NM6,R2_implementation_no_NM7,R2_implementation_no_NM8,R2_implementation_no_NM9,R2_implementation_no_NM10,R2_implementation_no_NM11,R2a_implementation_change_SM1,R2a_implementation_change_SM2,R2a_implementation_change_SM3,R2a_implementation_change_SM4,R2a_implementation_change_SM5,R2a_implementation_change_SM6,R2a_implementation_change_SM7,R2a_implementation_change_NM1,R2a_implementation_change_NM2,R2a_implementation_change_NM3,R2a_implementation_change_NM4,R2a_implementation_change_NM5,R2a_implementation_change_NM6,R2a_implementation_change_NM7,R2a_implementation_change_NM8,R2a_implementation_change_NM9,R2a_implementation_change_NM10,R2a_implementation_change_NM11,R02a_perc_prob_change ,R02_perc_prob,R02_perc_prob_other,R03a_perc_damage_change ,R03_perc_damage,R04a_perc_health_change,R04_perc_health,R05a_worry_change,R05_worry,R06a_media_freq,R06b_social_media_freq ,R010_flood_convo,R011_local_flood_convo,R01a_resilience_1_change,R01_resilience_1,R01a_resilience_2_change,R01_resilience_2,R01a_resilience_3_change,R01_resilience_3,R01a_resilience_4_change,R01_resilience_4,R01a_resilience_5_change,R01_resilience_5,R01_resilience_6_change,R01_resilience_6,Q17a_covid_risk,Q17b_covid_survival,Q17c_covid_asymp,Q18_lottery_chance,Q19a_car_risk,Q19b_car_impact,Q20a_plane_risk,Q20b_plane_survival,Q21_move_city,Q22_move_houses,Q23_social_network,R09_savings_change,R09a_savings_change_frac,R08a_economic_comfort_change,R08_economic_comfort,R012_lost_job,R012a_lost_job_impact,S0_chars_place,S0_chars_flood_risk,S0_chars_social_net,S0_chars_employment,S0_chars_cost,S1_current_situation,S2_moderate_flood,S3_heavy_flood
284,0,,,,,,,,,,,,,,,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,5,3,0,,1,,1,,1,,1,,1,,1,,,,,1.0,,3,,,1,0,5,2,20,1,,0,,2,3,3,1,1,3,3,3
426,0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,5,1,2,2.0,0,2.0,1,,1,,1,,0,4.0,1,,,,,1e-06,,98,,,1,2,1,1,25,0,4.0,0,,2,3,3,1,1,2,2,2
525,0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,1,1,0,,1,,1,,1,,1,,1,,1,,,,,,,2,,,1,1,1,3,,1,,0,,2,3,3,1,1,3,3,3
548,0,,,,,,,,,2.0,2.0,,2.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,1,1,5,5.0,1,,1,,1,,1,,1,,1,,20.0,98.8,40.0,0.0001,0.0,1,0.0,15.0,3,5,1,3,,1,,0,,1,3,1,1,1,2,2,2
671,0,,,,,,,,,,,,2.0,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,2,1,6,3.0,1,,1,,1,,1,,1,,1,,,,,,,3,0.0,90.0,1,0,3,3,,1,,1,4.0,2,2,4,1,2,3,3,3
742,0,,,,2.0,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,3,2,0,,1,,1,,1,,1,,1,,1,,5.0,100.0,75.0,0.0,10.0,2,0.0,0.0,1,0,2,3,,1,,0,,1,3,2,1,1,3,2,1
825,0,,,2.0,3.0,,,,1.0,,2.0,,2.0,,1.0,3.0,3.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,2,1,1,1.0,1,,1,,1,,1,,1,,1,,20.0,90.0,1.0,0.01,1.0,2,0.0,,3,0,2,1,20,1,,0,,2,3,4,1,1,2,2,2
855,0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,1,,,1,,1,,1,,4,1,1,1.0,1,,1,,1,,1,,1,,1,,50.0,25.0,,1.0,60.0,4,1.0,0.0,2,1,2,3,,1,,0,,1,1,2,1,1,2,1,1
905,0,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,5,2,0,,1,,0,4.0,1,,1,,1,,1,,30.0,90.0,70.0,5.0,15.0,1,5.0,30.0,1,0,1,3,,1,,0,,1,2,1,2,1,3,3,3
930,0,3.0,3.0,3.0,,,,3.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,3,3,1,1.0,1,,1,,1,,1,,1,,1,,5.0,100.0,50.0,1.0,10.0,1,1.0,75.0,2,1,5,3,,1,,1,3.0,2,2,3,1,2,2,2,2
1062,0,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,,1,,1,,1,,4,1,0,,1,,1,,1,,1,,1,,1,,,90.0,90.0,,,1,,,1,0,2,3,,1,,0,,2,1,4,1,2,3,3,3
1119,0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,2.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,0,2.0,1,,4,1,3,3.0,1,,1,,1,,1,,1,,1,,,50.0,,1.0,,2,,,1,0,2,3,,1,,1,2.0,2,1,4,2,1,2,2,1
1125,0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,4,4,3,2.0,1,,1,,1,,1,,1,,1,,20.0,50.0,10.0,6.0,1.0,3,1.0,1.0,2,1,3,1,10,1,,0,,1,2,2,1,2,2,2,1
1132,1,,,,,,,2.0,,2.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,5,3,0,,1,,1,,1,,1,,1,,1,,,40.0,,1.0,,1,0.0,,2,1,4,3,,1,,0,,2,3,3,2,2,3,2,2
1157,0,,1.0,2.0,2.0,2.0,2.0,1.0,,2.0,2.0,2.0,1.0,1.0,,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,4,4,5,3.0,1,,1,,1,,1,,1,,1,,,,,50.0,,3,,50.0,2,2,2,3,,1,,0,,1,1,1,1,2,1,1,1
1284,0,,,,,,,,,,,,3.0,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,,,0,3.0,1,,1,,3,1,3,3.0,1,,1,,1,,0,3.0,1,,0,3.0,5.0,,0.0,,5.0,2,,,1,0,1,2,5,1,,0,,2,3,4,2,2,3,3,3
1295,0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,4,2,0,,1,,1,,1,,1,,1,,1,,,90.0,,1.0,20.0,1,3.0,6.0,1,1,4,3,,1,,0,,1,2,1,1,1,3,2,1
1336,0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,4.0,1,,1,,3,1,0,,0,2.0,0,2.0,1,,1,,1,,1,,50.0,75.0,50.0,0.01,20.0,1,0.0,0.0,2,1,5,3,,1,,0,,2,2,3,2,2,1,1,1
1519,0,,,3.0,3.0,,,,1.0,,,,,,1.0,,,2.0,,1.0,1.0,,,1.0,1.0,1.0,,2.0,2.0,2.0,,2.0,,2.0,2.0,,2.0,,,,,,,,,4.0,4.0,4.0,,4.0,,4.0,4.0,,4.0,1,,,1,,1,,1,,3,1,0,,1,,1,,1,,1,,1,,1,,,,,1.0,,98,,,0,0,2,2,80,1,,1,4.0,1,2,1,2,2,1,2,2
2044,0,,,,,,,,2.0,2.0,2.0,,,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,2,1,0,,0,2.0,1,,1,,1,,0,1.0,1,,80.0,100.0,100.0,100.0,20.0,2,2.0,90.0,2,8,3,1,50,1,,0,,2,3,4,2,1,1,1,1
